"ACELERAÇÃO DE ESTUDOS","ACELERAÇÃO DE ESTUDOS"
"SEB - Rede de Formação/Esp na área de Ciências Humanas e Sociais","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - CIÊNCIAS HUMANAS E SOCIAIS"
"SEB - Rede de Formação ou SEED UAB","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO"
"SEB -  REDE DE FORMAÇÃO  PARA COORDENADORES E SUPERVISORES PEDAGÓGICOS","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - COORDENADORES E SUPERVISORES PEDAGÓGICOS"
"SEB-Rede Form/Aperf p/ prof Educ Especial,Quilombola,Indigena e Campo","SEB - REDE DE FORMAÇAO APERF PARA PROF ED ESP/ESC CAMPO/COM QUIL / COM"
"SEB/SECAD/PRÓ-INFANTIL","PROINFANTIL"
"SEB / SECAD / SEESP","SEB/SECAD/SEESP"
"SEB / SECAD / SEESP / SEED","SEB/SECAD/SEESP/SEED"
"SEB/SECAD/SEESP/SEED","SEB/SECAD/SEESP/SEED"
"SEB / SEED UAB","SEB - UAB"
"SEB/SEED - UAB","SEB - UAB"
"SEB/SEED-UAB","SEB - UAB"
"SEB / SEED-UAB / SECAD","SEB / SEED / SECAD"
"SEB SEED UAB SECAD","SEB / SEED / SECAD"
"SEB SEED-UAB SECAD","SEB / SEED / SECAD"
"SEB/SEED - UAB/SECAD","SEB / SEED / SECAD"
"SEB - UAB","SEB - UAB"
"SECAD","SECAD"
"SECAD - Campo","SECAD - CAMPO"
"SECAD CAMPO","SECAD - CAMPO"
"SECAD - CAMPO","SECAD - CAMPO"
"SECAD-CAMPO","SECAD - CAMPO"
"SECAD - Conexão de Saberes","CONEXÃO DE SABERES"
"SECAD - CURSO HISTÓRIA E CULTURA AFRO-BRASILEIRA E AFRICANA","SECAD - CURSO HISTÓRIA E CULTURA AFRO-BRASILEIRA E AFRICANA"
"SECAD - Direitos Humanos","SECAD - DIREITOS HUMANOS"
"SECAD - DIREITOS HUMANOS","SECAD - DIREITOS HUMANOS"
"SECAD-DIREITOS HUMANOS","SECAD - DIREITOS HUMANOS"
"SECAD e SEED-UAB/Curso form cont História e Cult Afro-Brasil e African","SECAD - CURSO HISTÓRIA E CULTURA AFRO-BRASILEIRA E AFRICANA"
